,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.013905721953126232,1.5768918237910272,4.753043367309801,6.847655984623129,0.13686025808023325,0.0,0.0,0.09213507233721306,0.0702500982766775,0.1156546992925253,4.099445652503439,3.9753567253694957,4.214435601059045
bs_delta,-0.1373177574585604,0.22943635190655104,0.7003855068188133,0.9051055225715562,0.015436327384746235,3.4556570110861977,0.13585012548403166,-0.05908840707447356,-0.06136503174602429,-0.05685609351127409,0.04678779201245076,0.03470217452155124,0.05847984979758053
leland,-0.1347717902496322,0.20934377624130338,0.6556876896401984,0.8514864457047271,0.013884648727048015,3.3874340515491657,0.13351374880843836,-0.05654243986554537,-0.058608200561876045,-0.05451054044395308,0.0020899748338358837,-0.009184516516989432,0.013406221692476251
whalley_wilmott,-0.07822935038408683,0.22530481455303403,0.6535977148063625,0.8849054048432784,0.015875497264288368,1.6989629190079494,0.07602598053069559,,,,,,
deep_hedge_es5,-0.10463070729539886,0.23543817677302037,0.5657223134054822,0.7115257415378353,0.017651882928162926,2.552448437323903,0.10500697638984587,-0.026401356911312027,-0.028933018516870475,-0.02369047657412812,-0.08787540140088035,-0.0982181001261194,-0.07761201830373658
ppo_s0,-0.11543566906961474,0.4055515084597939,0.7927066578116486,0.9555833774507428,0.03112728354573607,2.820086253720429,0.11506004296441236,-0.0372063186855279,-0.04195825842007039,-0.032373548443026555,0.1391089430052861,0.12707866404288543,0.15184004471946386
