,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.19987175619709588,1.0088751404360443,2.401935163533107,3.258228297460221,0.1933944846835933,0.0,0.0,0.133119559856939,0.11839121743353767,0.147740697410504,1.6214195998234324,1.5703449959270395,1.6724798464075212
bs_delta,-0.08496642390664083,0.29133538094539746,0.8762590048530547,1.3021785428132204,0.18792523514398984,5.152819160526138,0.29426462283588234,-0.15171862024679772,-0.15380506448925682,-0.14976301349894422,0.09574344114338018,0.08614951937514248,0.1061769842650014
leland,-0.07117131156244008,0.29209813266502466,0.8721396547725733,1.3041753250138475,0.18807396036693583,4.880492710945656,0.2803483624007661,-0.13792350790259697,-0.14008942195726087,-0.13605006664199631,0.0916240910628987,0.0816687521547456,0.10253453679567083
whalley_wilmott,0.06675219634015689,0.31007617891671174,0.7805155637096746,1.2267064398027434,0.18855342629649466,2.1617347413497474,0.1410781987160871,,,,,,
deep_hedge_es5,0.0027537765367212663,0.2616575108271858,0.6419048897323602,0.9641284461130456,0.1850710386068573,3.417208443479876,0.20490690008774237,-0.06399841980343562,-0.06647698152210706,-0.06129066519639794,-0.1386106739773144,-0.1534899821880424,-0.12428725839199795
ppo_s0,-0.03390591483146682,0.33550720397172373,0.8084365744383988,1.1351177784407835,0.1801383462036198,4.068777301793546,0.23996442266051435,-0.10065811117162371,-0.10532240629219392,-0.09616795738182542,0.027921010728724216,0.004518732639246334,0.051324414490984814
