,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.015499112694237028,1.4804432587724672,4.2982154075393,6.05062047816068,0.12479821545518928,0.0,0.0,0.11520659897144177,0.09504108652094641,0.13533600110779295,3.264672930975921,3.1584993547336775,3.3630753060532808
bs_delta,-0.18801106980349178,0.2889701613739965,1.1343802797592368,1.820624102506973,0.012126548030044754,2.602653327036651,0.18892809575057345,-0.08830358352628703,-0.09073133554811838,-0.08572482593995338,0.10083780319585767,0.08417872531991022,0.1166043913883429
leland,-0.18421643331541396,0.29057295025359997,1.1172156232721036,1.7805831201285698,0.013396320051505609,2.538379822350118,0.18503742410940266,-0.08450894703820921,-0.08671424942286693,-0.08218166072121592,0.08367314670872439,0.0680237887767028,0.09836940240787931
whalley_wilmott,-0.09970748627720474,0.34241178479875567,1.0335424765633792,1.6437446837151704,0.020562176841731467,1.1426932270926164,0.10068208123691269,,,,,,
deep_hedge_es5,-0.1440818176729503,0.33587391922475596,1.0144626739766085,1.5651218071289188,0.02296940199330399,1.9043363307701133,0.14613770756911432,-0.044374331395745564,-0.04676702493998023,-0.04213391914602687,-0.019079802586770667,-0.035602536962622694,-0.0029423254272343447
ppo_s0,-0.15344636202944975,0.4516106887393845,1.161848355367222,1.7079315056906608,0.03447809140169648,2.0741033885777,0.15713343944965227,-0.05373887575224501,-0.058880131715583546,-0.04872804697180134,0.12830587880384292,0.10491276522777299,0.15175110205041029
