,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.09474029593165896,0.2864745925557201,0.738925749248913,0.97153904531503,4.827532238325639,0.1474747946450244,0.0010401069528819251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.06844524569974596,0.11820950293504184,0.2194435406919315,0.2637682832864246,1.5775693352856954,0.08594181505875749,-0.5184421016040995,0.0006761115663896651,0.002442500970740457,0.006465199693434774,0.0028479962609588953,0.04107322945026739,0.0004665262516187667,0.0064651996934347485,3,3
delta_gamma_weekly,-0.2630035212640569,0.32040223207399543,0.8410227681858996,1.014527466254843,4.069924574392468,0.18021520873821792,0.10313712588986856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
leland,-0.09077786071678867,0.28528270746478945,0.7345026534567194,0.9583349452065484,4.686001375240027,0.14372399745989156,-0.0033829888393116514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.06052203666881468,0.7493151583376518,2.036369245671172,3.065852960910001,0.0,0.0,1.298483603375141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,0.04555598874022614,0.38936291403280515,0.8668525982560101,1.243877037716179,1.871240600297441,0.10435784407079757,0.12896695595997912,0.018586035183906415,0.05700984556600937,0.07757887000031254,0.1366935130293055,0.19768248448379921,0.02095970920602602,0.07757887000031252,3,0
sac,-0.040883600583594415,0.6231729262768003,1.32648932758833,1.766793513923978,6.004594212161997,0.27110575752099236,0.588603685292299,0.06340386465781192,0.08083828868827177,0.18301371267625896,0.37131718980864387,0.3325633557103662,0.02063491995462361,0.183013712676259,3,0
whalley_wilmott,-0.019311776975936137,0.31540396283410754,0.737885642296031,0.9803644249352536,1.9020133482891621,0.07201334984815792,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
