,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.16009158456187866,0.2964169101007632,1.1342292744744122,1.8267527384454683,4.205306711211946,0.15514850213294454,0.08926788776715888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.10252957443962603,0.1624675715490285,0.5022752874567794,0.7637156014277031,1.534028691266878,0.09497926403058356,-0.542686099250474,0.00024038169920022744,0.005355129924991109,0.018208244816418882,0.01853920681589336,0.044189070144882533,0.0002375136335911635,0.018208244816418907,3,3
delta_gamma_weekly,-0.18373198393355147,0.10986590827129926,0.40347728263264854,0.7381901461418837,3.1321227468881068,0.17660531566869506,-0.6414841040746049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
leland,-0.15609606319874417,0.29829206128999936,1.1175297823155141,1.7866255447355872,4.076759644700236,0.15105638203841304,0.07256839560826078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,-0.0027317095473290776,0.7726954234709236,2.0204313734331456,2.8074763387552775,0.0,0.0,0.9754699867258922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,-0.10924017535895701,0.43638127885877065,1.1734570048726207,1.7148954392860511,1.6457077000567903,0.10274401288843932,0.12849561816536745,0.01764546945765498,0.05847756395187015,0.05955235684971651,0.08770233863326901,0.1363535225801893,0.0169288410412857,0.059552356849716485,3,0
sac,-0.26562284269830616,0.7371406702238624,1.7062088972093512,2.3406742643215237,4.69688128233701,0.2541107234915058,0.6612475105020977,0.030649028091626323,0.07266562045975482,0.15392087500264784,0.27191289776086647,0.6984335134290671,0.028966343604390158,0.1539208750026478,3,0
whalley_wilmott,-0.07743206110964572,0.3360015275925659,1.0449613867072534,1.6696260452809693,1.5193785185898199,0.07252333818628372,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
