,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.11837878521460359,0.22791955587934465,0.6794280384265498,0.8847392001113471,5.911314076617893,0.11691115353855153,0.05663840482340443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.07438471690614379,0.1103092196231048,0.3375809714178579,0.4531819961963554,1.7551358668771149,0.07444952596135192,-0.2852086621852874,0.00010393229689058938,0.0035492008735349798,0.014580811162894546,0.018891829766153983,0.05004544962108789,0.00024755604660404914,0.014580811162894546,3,3
delta_gamma_weekly,-0.13638155268938973,0.08653734620577422,0.372623270969873,0.4895080370679137,4.064440380428487,0.13543726531875078,-0.2501663626332723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
leland,-0.11577522407306198,0.20773646457257638,0.634668008471788,0.8309448594442099,5.774868103098331,0.11451718263186812,0.011878374868642627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.009797656078581863,0.7598495019746907,1.9887558115499246,2.9286253840292216,0.0,0.0,1.3659661779467793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,-0.09536203843221124,0.3770343635958618,0.9120258046738824,1.2156137083533467,2.15892826056883,0.09330257310569147,0.28923617107073707,0.02340213325302071,0.10671165527197876,0.21148872964292925,0.29336282851820206,0.21247647745091253,0.022270613707166508,0.21148872964292922,3,0
sac,-0.2316442019657533,0.8112917788823046,1.6800898689601576,2.041392440755796,6.261192724453906,0.22436810247967112,1.0573002353570122,0.01941311246707543,0.1853942232810113,0.310141064925824,0.4127938205094433,0.4616177303648668,0.017577563598207533,0.310141064925824,3,0
whalley_wilmott,-0.06604676400154785,0.21641292784484126,0.6227896336031453,0.847118315716055,2.8025550814117026,0.06378936307838187,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
