,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.053112401291676235,0.299204315022422,0.8611332453329098,1.2911361355351125,9.305638375506424,0.26241060025439245,0.08090740000732854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.33701696685565086,0.6788054084667108,2.167830294196406,2.938257804011279,2.5412170090046406,0.11648418032823042,1.3876044488708246,0.10464640782600167,0.05050106021230936,0.18443893555461818,0.26690586259465515,0.19540065289688863,0.005324881658703114,0.18443893555461818,3,0
delta_gamma_weekly,-0.8866479806473119,0.6028453660993165,2.512800418036489,3.520779924427602,7.357265034032549,0.2696833255298024,1.7325745727109076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
leland,-0.03916987881551526,0.30012732219433774,0.8582792886723417,1.294319999014256,8.760985421891313,0.24834692965384128,0.07805344334676045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.2135008156708417,0.6312222922867247,1.5813126218286748,2.6076685596772067,0.0,0.0,0.8010867765030936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,1.2158662955535364,0.6957216517875263,0.3330613679276139,0.9547503744613876,3.6486314799301423,0.1669996841588739,-0.44716447739796733,0.24014393417042834,0.023067884481863303,0.2388369585076334,0.4192713808189787,1.2842698360844862,0.04360194888101714,0.2388369585076334,3,3
sac,1.6395407002609799,2.303390250950875,3.667830673914585,6.485590285465612,13.287962344296275,0.48149065264654595,2.8876048285890037,1.3957579066383534,0.22345504546055892,2.8082614348750274,4.200574716382315,1.4740555657292465,0.0484392037805693,2.8082614348750274,3,1
whalley_wilmott,0.08277459969513645,0.31564766314890447,0.7802258453255813,1.2281031482625793,3.9869022354390786,0.12587101861824507,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
