,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.12700342720489002,0.27852654676900107,0.7600761490300931,0.994807172374734,2.913766090669614,0.1797379259980927,-0.005560592203308623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.08234540751792842,0.27150128728074274,0.6631828993696108,0.8753479881036587,2.0914893514576485,0.1366015687909311,-0.10245384186379088,0.0013225456358184075,0.0029921264705464238,0.0024726843866094495,0.0037652163132662667,0.02624442121807659,0.0014415020358060596,0.0024726843866094686,3,3
leland,-0.12317232467021294,0.27702597799493006,0.7535786134297582,0.9792189813948441,2.8430006876200133,0.17611846141331675,-0.01205812780364357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
no_hedge,0.061977266189430745,1.1978162402462764,3.1013805596385975,4.281973249631781,0.0,0.0,2.335743818405196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,-0.04638203778654629,0.3790118281394211,0.900473782314463,1.2339347654324007,1.4631115730355493,0.10207180001543825,0.1348370410810613,0.004073265714705464,0.024200085759863384,0.035349582555498464,0.026674977512054113,0.061589358264758934,0.004209889648095373,0.03534958255549847,3,0
sac,-0.06547898099743933,0.43594544868513513,1.036534170867793,1.3772611154483683,1.8420047401309014,0.11964702489188754,0.2708974296343913,0.010129683901484322,0.030450089680485133,0.06703330734321339,0.11407494665312104,0.12205972323032621,0.009249003025142461,0.0670333073432134,3,0
whalley_wilmott,-0.04448281129877311,0.3151894527959905,0.7656367412334018,1.0198442975607915,1.3060773220886988,0.09748767683663344,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
