,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.1373177574585604,0.22943635190655104,0.7003855068188133,0.9051055225715562,3.4556570110861977,0.13585012548403166,0.04678779201245076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.10423377929817801,0.22282593195117872,0.5506914357492513,0.6931122737919372,2.5421165525772635,0.10458993963470371,-0.10290627905711129,0.0011229344765795902,0.009622119394699018,0.010668776679418497,0.014023565167661085,0.034292073364071814,0.0012225104878898184,0.010668776679418464,3,3
leland,-0.1347717902496322,0.20934377624130338,0.6556876896401984,0.8514864457047271,3.3874340515491657,0.13351374880843836,0.0020899748338358837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.013905721953126232,1.5768918237910272,4.753043367309801,6.847655984623129,0.0,0.0,4.099445652503439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,-0.07165118381902617,0.37611964767637884,0.9449830019877101,1.211727308121394,1.6769046494834745,0.07385150774639783,0.29138528718134754,0.0035361227245605214,0.04771971499538689,0.11080038356650784,0.18549512427593723,0.09026048259635898,0.0036489892743352616,0.11080038356650784,3,0
sac,-0.09443351312452065,0.4416903863313048,1.015450435168842,1.272602937189473,2.2339352173914513,0.09455490552228507,0.3618527203624797,0.0029350935655138213,0.06473747041751361,0.1350334448167281,0.15976266916642354,0.030995889601817938,0.0026811254069449048,0.13503344481672813,3,0
whalley_wilmott,-0.07822935038408683,0.22530481455303403,0.6535977148063625,0.8849054048432784,1.6989629190079494,0.07602598053069559,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
