,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.08496642390664083,0.29133538094539746,0.8762590048530547,1.3021785428132204,5.152819160526138,0.29426462283588234,0.09574344114338018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,0.009136303849289118,0.25971935902774573,0.6255896458801423,0.9484180355643567,3.294146928582556,0.19815725407035145,-0.15492591782953222,0.004999495477157149,0.0014849614665117098,0.013871802457432076,0.016121500098136288,0.09433806565176064,0.005152355760895485,0.013871802457432086,3,3
leland,-0.07117131156244008,0.29209813266502466,0.8721396547725733,1.3041753250138475,4.880492710945656,0.2803483624007661,0.0916240910628987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.19987175619709588,1.0088751404360443,2.401935163533107,3.258228297460221,0.0,0.0,1.6214195998234324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,0.06713767932760299,0.34826923409993693,0.7253491240247577,1.111531320860773,2.135852881350803,0.13732394323588,-0.05516643968491678,0.013035922330477383,0.028750543229032564,0.022388949488327398,0.02079565090623834,0.24274960338061896,0.013375549620946054,0.02238894948832741,3,2
sac,0.04420076125319667,0.41993570239355354,0.9168889322895101,1.373227937887626,2.6156766596406698,0.15825473705595466,0.13637336857983548,0.01114764928196177,0.05403552226938743,0.09799130346812969,0.1399492945705223,0.10154889395002697,0.009193999302849509,0.09799130346812969,3,0
whalley_wilmott,0.06675219634015689,0.31007617891671174,0.7805155637096746,1.2267064398027434,2.1617347413497474,0.1410781987160871,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
