,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.015499112694237028,1.4804432587724672,4.2982154075393,6.05062047816068,0.12479821545518928,0.0,0.0,0.11520659897144177,0.09504108652094641,0.13533600110779295,3.264672930975921,3.1584993547336775,3.3630753060532808
bs_delta,-0.18801106980349178,0.2889701613739965,1.1343802797592368,1.820624102506973,0.012126548030044754,2.602653327036651,0.18892809575057345,-0.08830358352628703,-0.09073133554811838,-0.08572482593995338,0.10083780319585767,0.08417872531991022,0.1166043913883429
leland,-0.18421643331541396,0.29057295025359997,1.1172156232721036,1.7805831201285698,0.013396320051505609,2.538379822350118,0.18503742410940266,-0.08450894703820921,-0.08671424942286693,-0.08218166072121592,0.08367314670872439,0.0680237887767028,0.09836940240787931
whalley_wilmott,-0.09970748627720474,0.34241178479875567,1.0335424765633792,1.6437446837151704,0.020562176841731467,1.1426932270926164,0.10068208123691269,,,,,,
deep_hedge_es5_s0,-0.1440818176729503,0.33587391922475596,1.0144626739766085,1.5651218071289188,0.02296940199330399,1.9043363307701133,0.14613770756911432,-0.044374331395745564,-0.04676702493998023,-0.04213391914602687,-0.019079802586770667,-0.035602536962622694,-0.0029423254272343447
deep_hedge_es5_s1,-0.141845467094983,0.3322356834437789,0.9999586901580086,1.554392280693253,0.022456963868438675,1.8689202089776153,0.1434675572952663,-0.04213798081777825,-0.044350712870539696,-0.040183991255251524,-0.03358378640537052,-0.049702957459267914,-0.018369100043758718
deep_hedge_es5_s2,-0.14467304590843236,0.34364082286114617,1.012285354931926,1.5390048224372253,0.02419291452550364,1.9154556338468551,0.146347283451678,-0.044965559631227614,-0.047406578569754075,-0.042761169831086625,-0.021257121631453213,-0.03856485649689575,-0.004288476582506925
ppo_s0,-0.1021178606377503,0.4561331298891994,1.2244158290830647,1.6843687594008105,0.03696872321001958,1.2558730065332726,0.10646337309092058,-0.0024103743605455585,-0.0067079675769816495,0.001871296520914589,0.1908733525196855,0.16063471449616798,0.22082553388944348
ppo_s1,-0.1074989502825181,0.4439424264109089,1.1862276282353594,1.5667332717930293,0.0354191131619051,1.3308959022035822,0.11153533992760806,-0.007791464005313359,-0.012018696158768263,-0.0038536447319516996,0.15268515167198027,0.12471539309103956,0.17965556561732984
ppo_s2,-0.0959500121524761,0.507025742660813,1.2818707714940407,1.7410642602431396,0.041864614532445193,1.2469106635948644,0.101808085321452,0.003757474124728641,-0.0020140424794480123,0.009565558410197187,0.24832829493066155,0.21545796886044052,0.27995316847160406
sac_s0,-0.11787062797706083,0.4809728396333316,1.1619463024390817,1.5280126978345185,0.036019320936828386,1.5784537282884121,0.12239974455179385,-0.018163141699856084,-0.023074630282028583,-0.013242094334121917,0.12840382587570254,0.09661408509469764,0.15940177461488392
sac_s1,-0.10950746922740204,0.4879061260396907,1.2523336416635111,1.593643051837958,0.039096786672631466,1.487668075823784,0.11332261075751801,-0.009799982950197295,-0.01519439266694111,-0.0044306394699395665,0.21879116510013197,0.18991800159060654,0.2489043535069983
sac_s2,-0.12965388127964753,0.5568204713361068,1.4280837727993427,1.9660077799692783,0.043574107235932656,1.6874640799880027,0.13383601856442245,-0.029946395002442783,-0.036439068124375994,-0.023776255839377324,0.39454129623596357,0.36398583655489225,0.42711600251418336
