,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.013905721953126232,1.5768918237910272,4.753043367309801,6.847655984623129,0.13686025808023325,0.0,0.0,0.09213507233721306,0.0702500982766775,0.1156546992925253,4.099445652503439,3.9753567253694957,4.214435601059045
bs_delta,-0.1373177574585604,0.22943635190655104,0.7003855068188133,0.9051055225715562,0.015436327384746235,3.4556570110861977,0.13585012548403166,-0.05908840707447356,-0.06136503174602429,-0.05685609351127409,0.04678779201245076,0.03470217452155124,0.05847984979758053
leland,-0.1347717902496322,0.20934377624130338,0.6556876896401984,0.8514864457047271,0.013884648727048015,3.3874340515491657,0.13351374880843836,-0.05654243986554537,-0.058608200561876045,-0.05451054044395308,0.0020899748338358837,-0.009184516516989432,0.013406221692476251
whalley_wilmott,-0.07822935038408683,0.22530481455303403,0.6535977148063625,0.8849054048432784,0.015875497264288368,1.6989629190079494,0.07602598053069559,,,,,,
deep_hedge_es5_s0,-0.10463070729539886,0.23543817677302037,0.5657223134054822,0.7115257415378353,0.017651882928162926,2.552448437323903,0.10500697638984587,-0.026401356911312027,-0.028933018516870475,-0.02369047657412812,-0.08787540140088035,-0.0982181001261194,-0.07761201830373658
deep_hedge_es5_s1,-0.1027036588567103,0.21209530585236125,0.5420407738525197,0.6902850950912186,0.015615222791963297,2.495915764504259,0.10292836995103699,-0.02447430847262347,-0.02672759789206173,-0.021960338891935355,-0.11155694095384283,-0.1218747276211333,-0.10088125472024895
deep_hedge_es5_s2,-0.10536697174242486,0.2209443132281546,0.5443112199897518,0.6775259847467575,0.016458275653037417,2.577985455903629,0.1058344725632283,-0.027137621358338027,-0.02973945467249315,-0.024390218930459617,-0.10928649481661068,-0.12021237800436725,-0.09778363083486617
ppo_s0,-0.06926496749569194,0.36035939435085673,1.0002162717082428,1.360882069356418,0.029326589077994236,1.6212669562974944,0.07190740554609344,0.008964382888394892,0.004045520395432528,0.014453120400855458,0.34661855690188026,0.32113882131898625,0.3703980893498443
ppo_s1,-0.07665030362392561,0.32717136938001795,0.790374036907418,0.9502614457937715,0.027361002874758195,1.8042160455487668,0.07896336971933146,0.0015790467601612262,-0.002819460589992603,0.006578910628362573,0.1367763221010555,0.12159629063082535,0.1521880730279404
ppo_s2,-0.06903828033746098,0.44082817929826185,1.0443586973474694,1.3240384092139925,0.03733196571770447,1.6052309466041625,0.07068374797376858,0.009191070046625852,0.0037264277787122844,0.015364470638875905,0.3907609825411069,0.3702667370291869,0.40973785213970176
sac_s0,-0.0944262726620627,0.37899876379356134,0.9172864223374547,1.1723259928142387,0.030553456291511155,2.254294346731901,0.09529030385118534,-0.016196922277975867,-0.02135964069738654,-0.010599565260196783,0.2636887075310922,0.2463530764261565,0.282734509752923
sac_s1,-0.09084239803318993,0.4152544490823573,0.9226736499386251,1.1474001235689704,0.03598185329799433,2.1901365041941405,0.09096586468936259,-0.012613047649103093,-0.01763081796483487,-0.007222212679793767,0.2690759351322626,0.25354296320576003,0.2857790083316958
sac_s2,-0.09803186867830936,0.5308179461179957,1.2063912332304467,1.49808269518521,0.04423265030040349,2.257374801248312,0.0974085480263073,-0.019802518294222526,-0.026015506592549913,-0.013780789012717745,0.5527935184240842,0.5340090230655714,0.5724596818845794
