,mean,std,cvar5,cvar1,mean_abs_daily,turnover,cost_paid,d_mean_vs_ref,d_mean_lo,d_mean_hi,d_cvar5_vs_ref,d_cvar5_lo,d_cvar5_hi
no_hedge,0.19987175619709588,1.0088751404360443,2.401935163533107,3.258228297460221,0.1933944846835933,0.0,0.0,0.133119559856939,0.11839121743353767,0.147740697410504,1.6214195998234324,1.5703449959270395,1.6724798464075212
bs_delta,-0.08496642390664083,0.29133538094539746,0.8762590048530547,1.3021785428132204,0.18792523514398984,5.152819160526138,0.29426462283588234,-0.15171862024679772,-0.15380506448925682,-0.14976301349894422,0.09574344114338018,0.08614951937514248,0.1061769842650014
leland,-0.07117131156244008,0.29209813266502466,0.8721396547725733,1.3041753250138475,0.18807396036693583,4.880492710945656,0.2803483624007661,-0.13792350790259697,-0.14008942195726087,-0.13605006664199631,0.0916240910628987,0.0816687521547456,0.10253453679567083
whalley_wilmott,0.06675219634015689,0.31007617891671174,0.7805155637096746,1.2267064398027434,0.18855342629649466,2.1617347413497474,0.1410781987160871,,,,,,
deep_hedge_es5_s0,0.0027537765367212663,0.2616575108271858,0.6419048897323602,0.9641284461130456,0.1850710386068573,3.417208443479876,0.20490690008774237,-0.06399841980343562,-0.06647698152210706,-0.06129066519639794,-0.1386106739773144,-0.1534899821880424,-0.12428725839199795
deep_hedge_es5_s1,0.01496194435170122,0.2580500392153193,0.6268660034250219,0.9548716177444072,0.18565018881587678,3.187991025646667,0.19240506617376255,-0.05179025198845567,-0.05422501659278634,-0.04926040532229238,-0.1536495602846527,-0.16865643707725889,-0.13964195780762645
deep_hedge_es5_s2,0.00969319065944487,0.25945052704073207,0.6079980444830451,0.9262540428356174,0.18506409590981932,3.277241316621125,0.19715979594954947,-0.05705900568071202,-0.059920222098198424,-0.05385908777705537,-0.1725175192266295,-0.19133276248713066,-0.15451130576760552
ppo_s0,0.0711756877761932,0.3359709314349672,0.7142067817401417,1.1231373716340796,0.1889968852578468,2.0415042029625736,0.13340947175094367,0.004423491436036306,0.00011557718940487657,0.008943653539830324,-0.06630878196953283,-0.09287882869665237,-0.04045687657280871
ppo_s1,0.04954068510664292,0.3208556915951074,0.7052535122542102,1.0823260875866838,0.1895591222630464,2.468885227389168,0.15530820852966554,-0.01721151123351397,-0.021548492784004548,-0.012919763519956964,-0.07526205145546438,-0.10103187158655053,-0.04915926501746669
ppo_s2,0.08069666509997286,0.38798107926973624,0.7565870780799214,1.1291305033615557,0.1823189378005086,1.897169213700667,0.12325414942703078,0.013944468759815976,0.007847957642300764,0.01960864088255657,-0.023928485629753138,-0.05088721823026385,0.003807094610290944
sac_s0,0.048112694192909325,0.4031497958276393,0.9490086211551307,1.4922488279690795,0.1886576835246828,2.5464554125875236,0.1539784069089543,-0.018639502147247564,-0.02468109459842843,-0.012654223881018263,0.16849305744545617,0.13451621027555938,0.20361408440493795
sac_s1,0.05547081883733433,0.3637652643006041,0.784082835139722,1.1767714145191714,0.18648630696250343,2.5413167320489882,0.14975903241393793,-0.011281377502822557,-0.015936496169042556,-0.006878097449232439,0.003567271430047425,-0.015225670147296469,0.02308538769902496
sac_s2,0.029018770729346357,0.49289204705241735,1.0175753405736774,1.450663571174627,0.18149411455313638,2.759257834285498,0.17102677184497175,-0.03773342561081053,-0.04471663622488516,-0.030625680202717435,0.2370597768640028,0.20767627677887326,0.26485475081288407
