,mean_seedmean,std_seedmean,cvar5_seedmean,cvar1_seedmean,turnover_seedmean,cost_paid_seedmean,d_cvar5_vs_ref_seedmean,mean_seedstd,std_seedstd,cvar5_seedstd,cvar1_seedstd,turnover_seedstd,cost_paid_seedstd,d_cvar5_vs_ref_seedstd,n_seeds,seeds_beating_ref_cvar5
bs_delta,-0.18801106980349178,0.2889701613739965,1.1343802797592368,1.820624102506973,2.602653327036651,0.18892809575057345,0.10083780319585767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
deep_hedge_es5,-0.14353344355878855,0.337250141843227,1.0089022396888476,1.5528396367531325,1.8962373911981947,0.14531751610535287,-0.024640236874531467,0.001217740014228251,0.0047567350710397555,0.006386208484618141,0.010718589762654824,0.019842396672820842,0.0013109134758889252,0.006386208484618131,3,3
leland,-0.18421643331541396,0.29057295025359997,1.1172156232721036,1.7805831201285698,2.538379822350118,0.18503742410940266,0.08367314670872439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
no_hedge,0.015499112694237028,1.4804432587724672,4.2982154075393,6.05062047816068,0.0,0.0,3.264672930975921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
ppo,-0.10185560769091484,0.4690337663203071,1.2308380762708218,1.6640554304789932,1.2778931907772397,0.10660226611332686,0.19729559970744245,0.004718479659027008,0.027321493523318113,0.039309342886949414,0.07260531147885614,0.03765675204302244,0.0039723493465874775,0.03930934288694946,3,0
sac,-0.11901065949470346,0.508566479003043,1.2807879056339786,1.6958878432139184,1.5845286280333994,0.1231861246245781,0.24724542907059935,0.008264148818466,0.03423792679819346,0.11049742722801427,0.192873742840913,0.08167941040099341,0.008393003839597445,0.11049742722801432,3,0
whalley_wilmott,-0.09970748627720474,0.34241178479875567,1.0335424765633792,1.6437446837151704,1.1426932270926164,0.10068208123691269,,0.0,0.0,0.0,0.0,0.0,0.0,,1,0
